tc_true,t1,t2,dt,observations,tc_predicted,tc_days_after_t2,check_pass,RMSE,A,B,C1,C2,C,m,omega,phi,optimizer_success
2007-06-01,2006-05-29,2007-02-02,175,176,2007-03-10,36,True,0.011937431521600875,5.964785446221538,-0.001334163873804464,-6.078968691681067e-05,-0.0001202242098601992,0.00013471913996145122,0.9,6.0,-2.0389425526765583,True
2007-06-01,2006-03-15,2007-02-02,225,226,2008-06-12,496,False,0.018949816984135184,5.77918190462775,0.0002284684304807092,0.0002476419100557567,-8.3067190841874e-05,0.00026120236180100635,0.9,9.03121741697842,-0.3236387795576466,True
2007-06-01,2006-01-04,2007-02-02,275,276,2007-03-02,28,True,0.017705535629552377,5.939639869889219,-0.0010402437507070718,-0.00027008977558288014,-0.0002223916148944169,0.0003498664277260069,0.9,6.0,-2.452746059569604,True
2007-06-01,2005-10-25,2007-02-02,325,326,2007-03-04,30,True,0.016993476862200277,5.959922910966472,-0.0032461385955052293,-0.0006125683337558418,-0.0006030531328533355,0.0008596005145209205,0.7143084375875197,6.0,-2.364021767714807,True
2007-06-01,2005-08-16,2007-02-02,375,376,2007-02-24,22,True,0.01830181445644149,6.041840750607245,-0.030614887996817233,0.003732192171258124,-0.0024582731408773813,0.004469045226707778,0.3819239483694504,6.360926947105992,-0.5824441529226735,True
2007-06-01,2005-06-07,2007-02-02,425,426,2007-02-21,19,True,0.017885822588230037,6.0198955970256725,-0.022523659904514205,-0.0031891030423057856,-0.0015900337428771086,0.003563507474095123,0.42276270073595695,6.000871497255101,-2.6790789904634145,True
2007-06-01,2005-03-29,2007-02-02,475,476,2007-03-23,49,True,0.0205666417468115,6.009198151882629,-0.009270930802690881,-0.0004432593749546215,-0.0014195638550927787,0.0014871585027060948,0.5624663572695994,6.0,-1.8734537811681806,True
2007-06-01,2005-01-14,2007-02-02,525,526,2007-04-02,59,True,0.020425155022591568,6.0168972069004205,-0.008556279716932692,-0.00011044346126093873,-0.001277928493947019,0.0012826920884518593,0.5789750247961281,6.0,-1.6570059365568497,True
2007-06-01,2004-11-03,2007-02-02,575,576,2007-06-02,120,True,0.021427866661679736,6.047359867070701,-0.005991204291934,0.0005365433559937566,-0.000455259484078898,0.0007036618297910065,0.6416076318321364,6.0,-0.7036252432112235,True
2007-06-01,2004-08-25,2007-02-02,625,626,2007-07-12,160,True,0.022498432956071512,6.053492230842301,-0.0035294859316082057,0.0003458840451007726,-2.2652176109715636e-05,0.00034662500449012456,0.7213496292234598,6.0,-0.06539727475132869,True
