t1,t2,window_dt_requested,observations,window_calendar_days,tc_predicted,tc_days_after_t2,tc_search_upper_days_after_t2,tc_valid_upper_days_after_t2,positive_lppls_valid,RMSE,SSE,A,B,C1,C2,C,m,omega,phi,damping,optimizer_success
2007-01-08,2007-04-02,60,61,84.0,2007-04-29,27,28.0,16.8,False,0.010078136589820695,0.0061956990645080446,5.73709719829458,0.11812224369419445,0.008664277468927978,-0.013063869231231743,0.015675917304875542,0.1,7.016523957680336,-0.9851805847354576,0.10739318224044116,True
2006-12-19,2007-04-02,70,71,104.0,2007-04-25,23,34.66666666666666,20.8,False,0.009655523479984553,0.006619268490749843,5.782053233188252,0.0885544394533366,-0.005448306147266447,0.01491632205042187,0.01588019846809992,0.1,6.299999946668267,1.920998843131208,0.08851438713386195,True
2006-12-05,2007-04-02,80,81,118.0,2007-04-30,28,39.333333333333314,23.6,False,0.010972778485385483,0.009752551282836421,5.904389162845389,0.005979228023501661,0.0037550545484532644,0.014013967066706486,0.014508332351052396,0.12464965487264215,6.0,1.308995381740816,0.008561846754682889,True
2006-11-21,2007-04-02,90,91,132.0,2007-05-09,37,44.0,26.400000000000002,False,0.011736974527393331,0.01253584796615787,6.050090525783371,-0.08771954172375114,-0.009384198997477259,0.013904464280340253,0.01677490142288506,0.1,6.0,2.1644810493468616,0.087153559070577,True
2006-11-07,2007-04-02,100,101,146.0,2007-05-09,37,48.66666666666666,29.200000000000003,False,0.011212878173752773,0.012698592330881555,6.03677930743739,-0.07916973171496616,-0.008420781336238286,0.014447542045005177,0.016722470793962576,0.1,6.0,2.098511702725321,0.0789055364389786,True
2006-10-24,2007-04-02,110,111,160.0,2007-05-14,42,53.333333333333314,32.0,False,0.011510598918633768,0.014706821508687469,6.106521615489276,-0.12329816057575797,-0.013249273562178924,0.008858038251417694,0.015937631304213072,0.1,6.0,2.552275005465882,0.12893819060716216,True
2006-10-10,2007-04-02,120,121,174.0,2007-05-21,49,58.0,34.800000000000004,False,0.01234032735219944,0.01842632517829244,6.188078924775685,-0.17409881050443363,-0.014790199570126325,0.0004375214372216085,0.01479666950135041,0.1,6.0,3.1120194298350174,0.19610134844707747,True
2006-09-26,2007-04-02,130,131,188.0,2007-06-03,62,62.66666666666666,37.6,False,0.014761021605013898,0.028543296405903,6.337131119843572,-0.2652538039594921,-0.00817457349822348,-0.010873759044699276,0.013603760055221386,0.1,6.0,-2.2154297236459,0.32497608857496546,True
2006-09-12,2007-04-02,140,141,202.0,2007-06-08,67,67.33333333333331,40.400000000000006,False,0.017023636481420423,0.04086239206626831,6.4752339468723505,-0.3498374617288191,-0.0016426267444989637,-0.01380549616721509,0.01390287549554889,0.1,6.0,-1.6892230975372158,0.41938262081205446,True
2006-08-29,2007-04-02,150,151,216.0,2007-06-13,72,72.0,43.2,False,0.01755089859263537,0.046513140252754506,5.980919718859166,-0.0009023530762592955,9.172959447072269e-05,-0.00010721484184480221,0.00014110046354838524,0.9,11.544766702329124,-0.8630785843720042,0.49854620086044044,True
