t1,t2,dt,observations,tc_predicted,tc_days_after_t2,global_tc_upper_date,lppls_valid,RMSE,SSE,A,B,C1,C2,C,m,omega,phi,damping,optimizer_success,window_dt_requested
2018-11-08,2021-05-12,626,626,2022-09-24,500,2022-09-24,False,0.05475911850334091,1.877099223098596,7.2294993814317055,-0.6590490816631074,-0.03880616538424764,-0.0034077682004401144,0.038955504822008276,0.1,8.503525771324798,-3.054002220176967,0.1989527242257477,True,625
2018-10-04,2021-05-12,651,651,2022-09-23,499,2022-09-24,False,0.054935920028156865,1.96468890638037,7.188656394475554,-0.6374321998780361,-0.01368636411283608,0.03462907808142231,0.03723559602582414,0.1,8.311234739387288,1.947181725082234,0.20597292651438492,True,650
2018-08-30,2021-05-12,676,676,2022-03-04,296,2022-09-24,False,0.05707492225670453,2.202101603411594,6.941964164956861,-0.5266179748402294,-0.0337083825450407,-0.012025188234563264,0.03578910736354685,0.1,6.0,-2.7989244688650454,0.24524127294320205,True,675
2018-07-25,2021-05-12,701,701,2022-03-31,323,2022-09-24,False,0.059279724513530065,2.4633741026184124,6.914566522717499,-0.5084606304766233,-0.02575494405529461,-0.02035478377004632,0.03282734173850658,0.1,6.0,-2.472778824599547,0.2581489512242967,True,700
2018-06-20,2021-05-12,726,726,2022-04-30,353,2022-09-24,False,0.06032341409616572,2.6418517732458944,6.9178333425529015,-0.5064866117860424,-0.01632648448481118,-0.02595034822377154,0.030659006320619443,0.1,6.0,-2.1323694579106944,0.2753332394889183,True,725
2018-05-15,2021-05-12,751,751,2021-05-13,1,2022-09-24,False,0.060744886878731655,2.771145902714339,6.24787554330598,-0.16726377217249325,-0.020267180545533506,-0.012570297840231955,0.023848920207367712,0.1,8.545888702476564,-2.5864313604897404,0.08206839382517997,True,750
2020-11-17,2021-05-20,126,126,2021-09-24,127,2022-10-02,True,0.009041236875207472,0.010299739493435033,6.282866202579652,-0.00739850554616213,-0.000180962033252341,-6.934528843427284e-05,0.0001937937731374614,0.658478117413964,13.0,-2.775649323064281,1.9337582519338892,True,125
2020-10-13,2021-05-20,151,151,2021-08-15,87,2022-10-02,False,0.01756581627048717,0.046592243088525276,6.200821815443632,-0.0016618180733293222,0.0001054413535724838,0.00010555604464703286,0.00014919771313503413,0.9,10.562282720755523,0.7859417296414929,0.9490870176533375,True,150
2020-09-08,2021-05-20,176,176,2021-09-13,116,2022-10-02,False,0.01748252725964259,0.053792421651609745,6.221411181675771,-0.0016093571772322391,-0.00012540799126416278,3.2467550685774324e-05,0.0001295426806903642,0.9,13.0,2.8882595405320552,0.8600797416965518,True,175
2020-08-04,2021-05-20,201,201,2021-09-11,114,2022-10-02,False,0.016826983222908373,0.05691262024119201,6.215498171198954,-0.0015716568240255102,-0.00013696725125987946,5.5282035008128155e-05,0.00014770284801697922,0.9,13.0,2.757973800351125,0.7366615630970491,True,200
2020-06-30,2021-05-20,226,226,2021-07-25,66,2022-10-02,False,0.017014249410705867,0.06542353836019334,6.176156118239693,-0.0022079570367231336,-0.0001618792038959134,0.00022919428350024618,0.00028059739172552175,0.8350724156189122,9.895125167312987,2.1857358851177944,0.6640638435509886,True,225
